Type,Saved,Time
BBGRL_50,4,0.0031333333333333335
BBGRL_100,4.4,0.0135
BBGRL_500,4.4,0.338
BBGRL_1000,38.03333333333333,1.4395333333333333
R-GBRL_50,3.1666666666666665,0.003
R-GBRL_100,3.5,0.011899999999999999
G-GBRL_50,9.166666666666666,0.0038
G-GBRL_100,9.166666666666666,0.0038
