Instance,Min,LDEG,GDEG,AStar,MCTS,Best
instances/BBGRL/1000_ep0.0125_0_gilbert_9.in,4,4,4,4,4,Min
instances/BBGRL/500_ep0.015_0_gilbert_4.in,5,5,5,5,5,Min
instances/BBGRL/1000_ep0.0075_0_gilbert_10.in,5,5,5,5,5,Min
instances/BBGRL/1000_ep0.0075_0_gilbert_4.in,6,999,6,998,998,LDEG
instances/BBGRL/100_ep0.05_0_gilbert_4.in,5,5,5,5,5,Min
instances/BBGRL/100_ep0.1_0_gilbert_10.in,4,4,4,4,4,Min
instances/BBGRL/50_ep0.15_0_gilbert_1.in,3,4,3,3,3,LDEG
instances/BBGRL/100_ep0.1_0_gilbert_1.in,3,3,3,3,3,Min
instances/BBGRL/500_ep0.02_0_gilbert_1.in,4,4,4,4,4,Min
instances/BBGRL/500_ep0.025_0_gilbert_9.in,4,4,4,4,4,Min
instances/BBGRL/50_ep0.2_0_gilbert_4.in,3,3,3,3,3,Min
instances/BBGRL/50_ep0.15_0_gilbert_5.in,4,4,4,4,4,Min
instances/BBGRL/500_ep0.015_0_gilbert_1.in,5,5,6,6,6,GDEG
instances/BBGRL/100_ep0.05_0_gilbert_1.in,7,7,7,7,7,Min
instances/BBGRL/1000_ep0.0075_0_gilbert_1.in,6,6,6,6,6,Min
instances/BBGRL/500_ep0.025_0_gilbert_8.in,4,4,4,4,4,Min
instances/BBGRL/50_ep0.2_0_gilbert_5.in,3,3,3,3,3,Min
instances/BBGRL/50_ep0.15_0_gilbert_4.in,3,4,3,3,3,LDEG
instances/BBGRL/100_ep0.1_0_gilbert_4.in,3,3,3,3,3,Min
instances/BBGRL/500_ep0.02_0_gilbert_4.in,4,4,4,4,4,Min
instances/BBGRL/1000_ep0.0125_0_gilbert_8.in,4,4,4,4,4,Min
instances/BBGRL/500_ep0.015_0_gilbert_5.in,5,5,5,5,5,Min
instances/BBGRL/1000_ep0.0075_0_gilbert_5.in,6,6,6,6,6,Min
instances/BBGRL/100_ep0.05_0_gilbert_5.in,4,4,4,4,4,Min
instances/BBGRL/50_ep0.2_0_gilbert_1.in,3,3,3,3,3,Min
instances/BBGRL/1000_ep0.0125_0_gilbert_3.in,4,4,4,4,4,Min
instances/BBGRL/1000_ep0.01_0_gilbert_5.in,5,5,5,5,5,Min
instances/BBGRL/500_ep0.025_0_gilbert_7.in,4,4,4,4,4,Min
instances/BBGRL/50_ep0.1_0_gilbert_10.in,4,4,4,6,6,AStar
instances/BBGRL/1000_ep0.0125_0_gilbert_7.in,4,4,4,4,4,Min
instances/BBGRL/1000_ep0.01_0_gilbert_1.in,4,4,4,4,4,Min
instances/BBGRL/50_ep0.1_0_gilbert_4.in,4,5,4,4,4,LDEG
instances/BBGRL/100_ep0.075_0_gilbert_4.in,4,4,4,4,4,Min
instances/BBGRL/500_ep0.025_0_gilbert_3.in,4,4,4,4,4,Min
instances/BBGRL/1000_ep0.0125_0_gilbert_10.in,5,5,5,5,5,Min
instances/BBGRL/1000_ep0.0125_0_gilbert_6.in,4,4,4,4,4,Min
instances/BBGRL/50_ep0.1_0_gilbert_5.in,4,5,4,4,4,LDEG
instances/BBGRL/100_ep0.075_0_gilbert_5.in,4,4,4,4,4,Min
instances/BBGRL/500_ep0.025_0_gilbert_2.in,4,4,4,4,4,Min
instances/BBGRL/1000_ep0.0125_0_gilbert_2.in,4,4,4,4,4,Min
instances/BBGRL/1000_ep0.01_0_gilbert_4.in,5,5,5,5,5,Min
instances/BBGRL/50_ep0.1_0_gilbert_1.in,6,6,6,6,6,Min
instances/BBGRL/100_ep0.075_0_gilbert_1.in,4,4,4,4,4,Min
instances/BBGRL/500_ep0.025_0_gilbert_6.in,4,4,4,4,4,Min
instances/GBRL/50_ep0.25_0_gilbert_4.in,3,3,3,3,3,Min
instances/GBRL/100_r0.219_0_geom_5.gin,7,8,7,8,7,LDEG
instances/GBRL/50_r0.259_0_geom_2.gin,6,6,6,6,6,Min
instances/GBRL/100_ep0.1_0_gilbert_9.in,3,4,3,3,3,LDEG
instances/GBRL/100_ep0.075_0_gilbert_6.in,4,4,4,4,4,Min
instances/GBRL/100_r0.219_0_geom_4.gin,5,5,5,5,5,Min
instances/GBRL/50_r0.259_0_geom_3.gin,12,34,12,32,33,LDEG
instances/GBRL/50_r0.259_0_geom_1.gin,6,6,6,13,13,AStar
instances/GBRL/100_r0.219_0_geom_6.gin,7,7,7,7,7,Min
instances/GBRL/100_ep0.075_0_gilbert_2.in,4,4,4,4,4,Min
instances/GBRL/50_ep0.2_0_gilbert_8.in,3,3,3,3,3,Min
instances/GBRL/50_ep0.15_0_gilbert_9.in,4,4,4,4,4,Min
instances/GBRL/100_r0.219_0_geom_7.gin,5,5,5,5,5,Min
instances/GBRL/50_r0.299_0_geom_10.gin,4,4,4,4,4,Min
instances/GBRL/50_ep0.25_0_gilbert_1.in,3,3,3,3,3,Min
instances/GBRL/100_r0.219_0_geom_3.gin,6,6,6,6,6,Min
instances/GBRL/50_r0.259_0_geom_4.gin,5,7,6,5,7,LDEG
instances/GBRL/100_ep0.075_0_gilbert_3.in,4,4,4,4,4,Min
instances/GBRL/100_ep0.125_0_gilbert_10.in,3,3,3,3,3,Min
instances/GBRL/50_ep0.2_0_gilbert_9.in,3,3,3,3,3,Min
instances/GBRL/50_ep0.15_0_gilbert_8.in,3,3,3,3,3,Min
instances/GBRL/100_r0.219_0_geom_2.gin,6,6,6,6,6,Min
instances/GBRL/50_r0.259_0_geom_5.gin,13,14,13,13,13,LDEG
instances/GBRL/50_ep0.25_0_gilbert_5.in,3,3,3,3,3,Min
instances/GBRL/50_r0.259_0_geom_7.gin,7,41,7,39,40,LDEG
instances/GBRL/100_ep0.1_0_gilbert_8.in,3,3,3,3,3,Min
instances/GBRL/100_ep0.075_0_gilbert_7.in,4,4,4,4,4,Min
instances/GBRL/50_ep0.15_0_gilbert_10.in,3,3,3,3,3,Min
instances/GBRL/50_r0.259_0_geom_6.gin,5,5,6,6,5,GDEG
instances/GBRL/100_r0.219_0_geom_1.gin,7,7,7,7,7,Min
instances/GBRL/100_ep0.1_0_gilbert_3.in,3,3,3,3,3,Min
instances/GBRL/100_r0.195_0_geom_10.gin,6,6,6,6,6,Min
instances/GBRL/100_r0.195_0_geom_8.gin,9,11,9,10,10,LDEG
instances/GBRL/50_r0.334_0_geom_8.gin,4,4,4,4,4,Min
instances/GBRL/100_r0.169_0_geom_1.gin,9,93,9,92,92,LDEG
instances/GBRL/50_r0.334_0_geom_9.gin,4,4,4,4,4,Min
instances/GBRL/100_r0.195_0_geom_9.gin,6,6,6,6,6,Min
